Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.022988494	12.666660069	432.432	12021.622	12.6437	11589.189	-61.09	BUFJAP
2	Spectrogram 1	1	13.229878167	13.896544486	345.946	9859.459	0.6667	9513.514	-67.96	BUFJAP
3	Spectrogram 1	1	14.390797102	26.060922759	345.946	11935.135	11.6701	11589.189	-59.41	BUFJAP
4	Spectrogram 1	1	26.348278932	26.417244413	345.946	951.351	0.0690	605.405	-58.92	BUFJAP
5	Spectrogram 1	1	27.244830189	32.543678004	345.946	11589.189	5.2988	11243.243	-55.53	BUFJAP
6	Spectrogram 1	1	33.250658234	34.721921836	345.946	10897.297	1.4713	10551.351	-57.24	BUFJAP
7	Spectrogram 1	1	35.227668699	43.848353864	432.432	11589.189	8.6207	11156.757	-54.65	BUFJAP
8	Spectrogram 1	1	44.409529120	46.363551091	432.432	7178.378	1.9540	6745.946	-57.78	BUFJAP
9	Spectrogram 1	1	46.961251929	47.892285927	345.946	7178.378	0.9310	6832.432	-58.37	BUFJAP
10	Spectrogram 1	1	48.662400468	48.742860196	345.946	951.351	0.0805	605.405	-59.12	BUFJAP
11	Spectrogram 1	1	49.444009256	53.179639495	216.216	4324.324	3.7356	4108.108	-63.26	BUFJAP
12	Spectrogram 1	1	54.834811046	58.363544841	345.946	12800.000	3.5287	12454.054	-56.32	BUFJAP
13	Spectrogram 1	1	59.731360220	59.811819949	432.432	2075.676	0.0805	1643.243	-60.20	BUFJAP
