Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
0.019576122346770235	0.1174567340806214	638.0208333333339	2096.354166666667	BUFJAP
0.41109856928217486	0.6225206906272934	528.6458333333339	6106.770833333334	BUFJAP
0.9083320768901387	1.2137195854997542	601.5625	9169.270833333334	BUFJAP
1.6248181547819294	1.7814271335560912	565.1041666666661	5559.895833333333	BUFJAP
2.094645091104415	2.2355931720011606	565.1041666666661	5377.604166666666	BUFJAP
2.87377476050587	3.046044637157448	455.72916666666606	2315.104166666666	BUFJAP
3.523702022418642	3.7155480214169905	309.89583333333394	2351.562500000001	BUFJAP
4.114900917291103	4.341983936513638	528.6458333333339	1367.1875000000005	BUFJAP
4.74133683238775	4.956674178202223	455.72916666666606	1986.979166666666	BUFJAP
5.37951842089246	5.571364419890807	382.8125	2132.8125	BUFJAP
6.01770000939717	6.209546008395518	382.8125	2205.729166666667	BUFJAP
8.246054361840901	8.449646034247312	419.27083333333394	1075.520833333334	BUFJAP
8.931218643977859	9.1152341940375	419.27083333333394	1002.6041666666673	BUFJAP
9.526332763319674	9.70643308890996	419.27083333333394	2096.354166666667	BUFJAP
9.980498801764742	11.092422551061292	419.27083333333394	5960.937500000001	BUFJAP
14.019398670211954	14.230820791557072	455.72916666666606	2205.729166666666	BUFJAP
14.61451278955377	14.802443564082763	419.27083333333394	2278.645833333334	BUFJAP
15.334914091914914	15.530675315382616	419.27083333333394	2351.562500000001	BUFJAP
15.992671802766395	16.15319600600991	309.89583333333394	2388.020833333334	BUFJAP
16.716988329596894	16.89708865518718	346.35416666666606	2351.562499999999	BUFJAP
18.125924141378153	18.341261487192625	309.89583333333394	2315.104166666667	BUFJAP
18.72495348518932	18.908969035248962	419.27083333333394	2278.645833333334	BUFJAP
20.29887372186965	20.51812629215348	419.27083333333394	2132.812500000001	BUFJAP
20.886157392272757	21.097579513617877	382.8125	2351.5625	BUFJAP
21.602643470164548	21.794489469162897	492.1875	2132.8125	BUFJAP
22.428755833198252	22.632347505604663	419.27083333333394	2278.645833333334	BUFJAP
23.552425255902865	23.748186479370567	309.89583333333394	2424.4791666666674	BUFJAP
30.549742528642646	30.63979269143779	346.35416666666606	820.3124999999993	BUFJAP
31.168347994800587	31.270143831003793	455.72916666666606	1002.6041666666661	BUFJAP
31.8574275014069	32.017951704650415	346.35416666666606	1111.979166666666	BUFJAP
32.4877786409729	32.66787896656319	346.35416666666606	2132.812499999999	BUFJAP
33.14162112735502	33.3138910040066	565.1041666666661	2278.645833333333	BUFJAP
33.72890479775813	33.87768332759359	601.5625	11539.0625	BUFJAP
34.339679814977366	34.46888222246605	492.1875	11356.770833333334	BUFJAP
45.83921252263274	45.93317790989724	528.6458333333339	1294.270833333334	BUFJAP
46.35993737705683	46.45781798879068	601.5625	1184.8958333333335	BUFJAP
46.84542521125673	46.92372970064381	565.1041666666661	1513.0208333333326	BUFJAP
47.601063533842066	47.71068981898398	565.1041666666661	1658.854166666666	BUFJAP
49.986636136369896	50.11192331938923	638.0208333333339	5158.854166666667	BUFJAP
52.8917326926306	52.99744375330316	455.72916666666606	11138.020833333332	BUFJAP
53.56123607689014	53.69826893331753	346.35416666666606	11575.520833333332	BUFJAP
54.136774073885185	54.24248513455775	565.1041666666661	10882.8125	BUFJAP
54.72797296875765	54.83368402943021	419.27083333333394	10664.0625	BUFJAP
56.437145732887814	56.542856793560375	419.27083333333394	10591.145833333334	BUFJAP
57.090988219269946	57.21627540228928	565.1041666666661	10955.729166666666	BUFJAP
57.64303486944886	57.7761525014069	492.1875	11283.854166666666	BUFJAP
58.136353152587475	58.3047078047697	455.72916666666606	11247.395833333332	BUFJAP
58.7901956389696	58.9350589443357	565.1041666666661	11210.9375	BUFJAP
59.35398796255658	59.4714446966372	492.1875	11138.020833333334	BUFJAP
59.87471281698067	59.97650865318387	528.6458333333339	5888.020833333334	BUFJAP
