Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.269058156	0.672645390	1138.211	3284.553	0.4036	2146.341	-40.50	ZHASCH
2	Spectrogram 1	1	2.125559431	2.878922267	1235.772	6536.585	0.7534	5300.813	-38.68	ZHASCH
3	Spectrogram 1	1	5.192822408	6.107620137	1138.211	7024.390	0.9148	5886.179	-38.59	ZHASCH
4	Spectrogram 1	1	34.049309620	34.668143379	1235.772	3447.154	0.6188	2211.382	-36.53	ZHASCH
5	Spectrogram 1	1	35.973075434	36.914778980	1170.732	7414.634	0.9417	6243.902	-37.66	ZHASCH
6	Spectrogram 1	1	38.085181958	39.040338411	1089.431	6910.569	0.9552	5821.138	-36.85	ZHASCH
7	Spectrogram 1	1	54.914769605	55.721944072	1040.650	6373.984	0.8072	5333.333	-38.52	ZHASCH
8	Spectrogram 1	1	56.757817972	57.968579673	1073.171	6666.667	1.2108	5593.496	-37.38	ZHASCH
9	Spectrogram 1	1	58.950641942	59.999968750	1170.732	6666.667	1.0493	5495.935	-36.48	ZHASCH
10	Spectrogram 1	1	14.528845953	20.609560275	0.000	1105.691	6.0807	1105.691	-58.32	frog
