Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	1.607817574	1.711852828	438.806	2166.604	0.1040	1727.798	-46.78	BUFJAP
2	Spectrogram 1	1	3.196719647	5.182847238	411.381	2002.052	1.9861	1590.671	-50.47	BUFJAP
3	Spectrogram 1	1	8.786250153	9.457750433	466.231	2468.284	0.6715	2002.053	-44.97	BUFJAP
4	Spectrogram 1	1	12.512603823	12.976033595	329.104	2221.455	0.4634	1892.351	-49.85	BUFJAP
5	Spectrogram 1	1	18.385866843	22.254086770	274.254	5457.649	3.8682	5183.395	-52.28	BUFJAP
6	Spectrogram 1	1	23.738953588	24.315876364	137.127	2111.754	0.5769	1974.627	-48.11	BUFJAP
7	Spectrogram 1	1	25.403517664	33.799530752	329.104	4717.164	8.3960	4388.060	-54.84	BUFJAP
8	Spectrogram 1	1	35.451375817	41.069279574	329.104	2440.858	5.6179	2111.754	-47.54	BUFJAP
9	Spectrogram 1	1	41.561082597	41.684033353	246.828	2194.030	0.1230	1947.202	-47.96	BUFJAP
10	Spectrogram 1	1	42.223125127	53.392309035	274.254	4525.187	11.1692	4250.933	-54.84	BUFJAP
11	Spectrogram 1	1	54.441140928	55.405831473	274.254	4936.567	0.9647	4662.313	-52.13	BUFJAP
12	Spectrogram 1	1	57.316297060	57.439247816	466.231	1672.948	0.1230	1206.717	-51.20	BUFJAP
13	Spectrogram 1	1	59.274051400	59.728023421	329.104	2166.604	0.4540	1837.500	-51.43	BUFJAP
