Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.000000000	2.052331844	1040.650	7739.837	2.0523	6699.187	-39.32	ZHASCH
2	Spectrogram 1	1	0.794451036	1.097099050	292.683	813.008	0.3026	520.325	-58.70	BUFJAP
3	Spectrogram 1	1	3.054853390	5.097727484	1008.130	7447.154	2.0429	6439.024	-38.59	ZHASCH
4	Spectrogram 1	1	3.896593179	6.790664811	260.163	813.008	2.8941	552.845	-59.16	BUFJAP
5	Spectrogram 1	1	6.620425303	8.663299397	1008.130	7252.033	2.0429	6243.903	-38.57	ZHASCH
6	Spectrogram 1	1	7.613489099	9.117271418	390.244	715.447	1.5038	325.203	-60.08	BUFJAP
7	Spectrogram 1	1	20.854339706	21.194818721	390.244	845.528	0.3405	455.284	-51.52	BUFJAP
8	Spectrogram 1	1	22.443241779	22.518903782	357.724	845.528	0.0757	487.804	-56.02	BUFJAP
9	Spectrogram 1	1	41.784341415	42.068073928	1203.252	4032.520	0.2837	2829.268	-38.41	ZHASCH
10	Spectrogram 1	1	43.590771748	44.196067776	1138.211	6926.829	0.6053	5788.618	-36.90	ZHASCH
