Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.737704534	1.541613321	910.569	15591.705	0.8039	14681.136	-38.65	ZHASCH
2	Spectrogram 1	1	19.615374399	19.993684416	1154.472	14893.569	0.3783	13739.097	-38.60	ZHASCH
3	Spectrogram 1	1	22.935044801	23.824073342	658.209	15514.134	0.8890	14855.925	-39.04	ZHASCH
4	Spectrogram 1	1	25.327855661	26.245257453	767.910	15514.134	0.9174	14746.223	-38.53	ZHASCH
5	Spectrogram 1	1	27.862532777	28.751561318	1040.650	15126.281	0.8890	14085.631	-38.32	ZHASCH
6	Spectrogram 1	1	31.984288274	32.969718011	1121.951	15203.851	0.9854	14081.900	-38.46	ZHASCH
7	Spectrogram 1	1	34.539704583	36.914778980	465.424	15126.281	2.3751	14660.856	-39.89	ZHASCH
8	Spectrogram 1	1	37.840459484	38.549790767	620.565	14971.139	0.7093	14350.574	-37.33	ZHASCH
9	Spectrogram 1	1	56.595178594	56.869453357	1138.211	13885.150	0.2743	12746.939	-38.02	ZHASCH
10	Spectrogram 1	1	58.240827169	58.902869700	910.569	15281.422	0.6620	14370.853	-38.82	ZHASCH
