Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.134529078	2.798204821	260.163	943.089	2.6637	682.926	-36.80	BUFJAP
2	Spectrogram 1	1	3.338585903	3.697980419	1495.935	6699.187	0.3594	5203.252	-37.07	ZHASCH
3	Spectrogram 1	1	3.443944395	5.031387514	487.805	845.528	1.5874	357.723	-43.66	BUFJAP
4	Spectrogram 1	1	4.738332967	5.353086745	1365.854	6926.829	0.6148	5560.975	-34.20	ZHASCH
5	Spectrogram 1	1	6.469101297	7.178432579	1268.293	7707.317	0.7093	6439.024	-34.70	ZHASCH
6	Spectrogram 1	1	8.474144388	9.230764423	1234.142	7869.919	0.7566	6635.777	-34.70	ZHASCH
7	Spectrogram 1	1	9.955151766	11.058290205	487.805	878.049	1.1031	390.244	-38.01	BUFJAP
8	Spectrogram 1	1	11.434420274	12.342364316	1333.333	7479.675	0.9079	6146.342	-34.74	ZHASCH
9	Spectrogram 1	1	12.053805381	13.614342685	325.203	975.610	1.5605	650.407	-45.57	BUFJAP
10	Spectrogram 1	1	13.641248501	14.690575308	1300.813	7577.236	1.0493	6276.423	-34.80	ZHASCH
11	Spectrogram 1	1	15.567457214	16.352450499	1398.374	7674.797	0.7850	6276.423	-33.61	ZHASCH
12	Spectrogram 1	1	17.903521571	18.538106937	390.244	975.610	0.6346	585.366	-37.86	BUFJAP
13	Spectrogram 1	1	18.860976724	21.071867966	1073.171	7837.398	2.2109	6764.227	-36.35	ZHASCH
14	Spectrogram 1	1	22.433784028	24.363165117	1105.691	6926.829	1.9294	5821.138	-35.17	ZHASCH
15	Spectrogram 1	1	43.581313997	44.139321273	357.724	878.049	0.5580	520.325	-40.70	BUFJAP
16	Spectrogram 1	1	47.071223907	47.525195928	1300.813	6731.707	0.4540	5430.894	-35.46	ZHASCH
17	Spectrogram 1	1	48.281815963	48.858738739	1300.813	6764.228	0.5769	5463.415	-34.99	ZHASCH
18	Spectrogram 1	1	49.681563027	50.277401304	1430.894	6926.829	0.5958	5495.935	-33.81	ZHASCH
19	Spectrogram 1	1	51.421789107	52.083831637	1105.691	7414.634	0.6620	6308.943	-34.34	ZHASCH
20	Spectrogram 1	1	54.353691741	55.015734272	1268.293	6926.829	0.6620	5658.536	-33.59	ZHASCH
21	Spectrogram 1	1	55.346755537	56.103375571	422.764	2577.985	0.7566	2155.221	-37.17	BUFJAP
22	Spectrogram 1	1	59.470334726	59.865439672	325.203	2632.836	0.3951	2307.633	-33.85	BUFJAP
