Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.000000000	0.515541809	994.235	4456.915	0.5155	3462.680	-44.02	ZHASCH
2	Spectrogram 1	1	2.983192797	3.981328732	1146.660	4357.307	0.9981	3210.647	-43.16	ZHASCH
3	Spectrogram 1	1	6.067320688	7.009381571	1146.660	4624.861	0.9421	3478.201	-43.54	ZHASCH
4	Spectrogram 1	1	7.368261908	8.949578390	1070.216	3172.425	1.5813	2102.209	-51.46	ZHASCH
5	Spectrogram 1	1	18.367806525	18.413783513	450.297	2251.484	0.0460	1801.187	-56.46	BUFJAP
6	Spectrogram 1	1	20.568954804	20.614931792	394.010	1519.752	0.0460	1125.742	-48.98	BUFJAP
7	Spectrogram 1	1	23.454010773	23.494240637	478.440	1660.470	0.0402	1182.029	-50.15	BUFJAP
8	Spectrogram 1	1	26.333319618	26.379296606	422.153	956.881	0.0460	534.728	-55.40	BUFJAP
9	Spectrogram 1	1	30.346599535	30.398323646	478.440	1660.470	0.0517	1182.029	-53.58	BUFJAP
10	Spectrogram 1	1	32.024759581	32.087977939	506.584	1463.465	0.0632	956.881	-48.60	BUFJAP
11	Spectrogram 1	1	33.961540181	34.024758539	450.297	1463.465	0.0632	1013.168	-52.37	BUFJAP
12	Spectrogram 1	1	48.116038831	48.476670827	1108.438	2599.095	0.3606	1490.657	-44.96	ZHASCH
13	Spectrogram 1	1	50.798508698	51.264025697	726.218	4510.195	0.4655	3783.977	-45.44	ZHASCH
14	Spectrogram 1	1	53.010167236	53.741656629	1184.882	4854.192	0.7315	3669.310	-45.60	ZHASCH
15	Spectrogram 1	1	55.915948935	56.667614199	1108.438	4624.861	0.7517	3516.423	-44.04	ZHASCH
