Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.000000000	0.728355095	1183.351	2623.596	0.7284	1440.246	-34.91	ZHASCH
2	Spectrogram 1	1	2.666054498	3.476864886	1149.666	2569.106	0.8108	1419.440	-34.45	ZHASCH
3	Spectrogram 1	1	5.180940957	6.080714322	1002.273	2536.585	0.8998	1534.312	-33.48	ZHASCH
4	Spectrogram 1	1	7.682084867	8.663672618	1463.415	2341.463	0.9816	878.048	-29.85	ZHASCH
5	Spectrogram 1	1	14.677042287	15.686090485	1333.333	2211.382	1.0090	878.049	-31.60	ZHASCH
6	Spectrogram 1	1	18.053802256	18.995505802	1031.751	2505.682	0.9417	1473.930	-32.77	ZHASCH
7	Spectrogram 1	1	20.510754320	21.465861472	1398.374	2308.943	0.9551	910.569	-29.35	ZHASCH
8	Spectrogram 1	1	21.788811373	23.085189770	1170.732	2178.862	1.2964	1008.130	-34.32	ZHASCH
9	Spectrogram 1	1	25.890962237	26.690569058	1398.374	2276.423	0.7996	878.049	-29.84	ZHASCH
10	Spectrogram 1	1	27.013438845	28.278012178	1170.732	2048.780	1.2646	878.048	-33.31	ZHASCH
11	Spectrogram 1	1	30.430477424	31.372180970	1333.333	2243.902	0.9417	910.569	-30.75	ZHASCH
12	Spectrogram 1	1	31.896456131	33.483720536	1170.732	2243.902	1.5873	1073.170	-34.32	ZHASCH
