Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	13.439463366	14.125553181	1544.715	2292.683	0.6861	747.968	-37.60	ZHASCH
2	Spectrogram 1	1	15.444506458	16.062771903	1495.935	2341.463	0.6183	845.528	-33.63	ZHASCH
3	Spectrogram 1	1	17.515753803	18.253458337	1560.976	2406.504	0.7377	845.528	-32.35	ZHASCH
4	Spectrogram 1	1	19.577543397	20.390909935	1268.293	2373.984	0.8134	1105.691	-33.12	ZHASCH
5	Spectrogram 1	1	22.131136014	22.878298299	1349.593	2422.764	0.7472	1073.171	-31.59	ZHASCH
6	Spectrogram 1	1	24.959003394	25.696707928	1343.843	2390.244	0.7377	1046.401	-37.63	ZHASCH
7	Spectrogram 1	1	34.047901561	34.936930101	1349.593	2487.805	0.8890	1138.212	-35.18	ZHASCH
8	Spectrogram 1	1	36.610951928	37.386487464	1398.374	2373.984	0.7755	975.610	-32.42	ZHASCH
9	Spectrogram 1	1	38.928100784	39.656347568	1495.935	2276.423	0.7282	780.488	-32.23	ZHASCH
10	Spectrogram 1	1	47.462275649	50.608422570	406.504	764.228	3.1461	357.724	-29.21	BUFJAP
11	Spectrogram 1	1	58.874496448	59.990511000	493.657	767.910	1.1160	274.254	-26.10	BUFJAP
