Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.321563515	2.733289875	383.955	2523.134	2.4117	2139.179	-48.32	BUFJAP
2	Spectrogram 1	1	3.527740912	6.109706780	274.254	2468.284	2.5820	2194.030	-47.50	BUFJAP
3	Spectrogram 1	1	6.828495813	8.171496375	356.530	2550.560	1.3430	2194.030	-52.71	BUFJAP
4	Spectrogram 1	1	10.308947972	13.458378867	383.955	4415.485	3.1494	4031.530	-53.31	BUFJAP
5	Spectrogram 1	1	13.882020827	16.019472425	191.978	5430.224	2.1375	5238.246	-50.24	BUFJAP
6	Spectrogram 1	1	18.005600016	18.724389049	438.806	2550.560	0.7188	2111.754	-56.43	BUFJAP
7	Spectrogram 1	1	20.455157378	22.252129960	219.403	4991.418	1.7970	4772.015	-56.46	BUFJAP
8	Spectrogram 1	1	23.954525038	24.455785811	191.978	5046.269	0.5013	4854.291	-52.45	BUFJAP
9	Spectrogram 1	1	27.671420959	33.317697967	219.403	4442.910	5.6463	4223.507	-50.87	BUFJAP
10	Spectrogram 1	1	34.055402501	34.660698529	219.403	5375.373	0.6053	5155.970	-42.50	BUFJAP
11	Spectrogram 1	1	36.618452869	37.157544643	466.231	3455.597	0.5391	2989.366	-54.52	BUFJAP
12	Spectrogram 1	1	38.472171954	39.626017507	219.403	5430.224	1.1538	5210.821	-42.94	BUFJAP
13	Spectrogram 1	1	43.617188190	49.972796481	137.127	5457.649	6.3556	5320.522	-52.87	BUFJAP
14	Spectrogram 1	1	51.637360557	51.760311313	411.381	4744.590	0.1230	4333.209	-52.74	BUFJAP
15	Spectrogram 1	1	54.115151356	57.567230264	137.127	5402.799	3.4521	5265.672	-52.50	BUFJAP
16	Spectrogram 1	1	58.617040562	58.739991318	164.552	2989.366	0.1230	2824.813	-43.15	BUFJAP
17	Spectrogram 1	1	59.260167591	59.742512864	191.978	2386.007	0.4823	2194.030	-50.51	BUFJAP
