Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.781608788	0.896551257	514.259	1361.275	0.1149	847.016	-52.11	BUFJAP
2	Spectrogram 1	1	1.620688811	2.999998437	484.009	1694.031	1.3793	1210.022	-57.59	BUFJAP
3	Spectrogram 1	1	3.735630238	7.344823761	453.758	2117.539	3.6092	1663.781	-55.77	BUFJAP
4	Spectrogram 1	1	8.149421043	8.229880771	453.758	998.268	0.0805	544.510	-43.62	BUFJAP
5	Spectrogram 1	1	9.413788200	11.620683603	544.510	5384.599	2.2069	4840.089	-57.87	BUFJAP
6	Spectrogram 1	1	15.172405891	15.632175766	393.257	756.264	0.4598	363.007	-56.97	BUFJAP
7	Spectrogram 1	1	16.724129221	19.563208202	423.508	726.013	2.8391	302.506	-56.91	BUFJAP
8	Spectrogram 1	1	20.091943558	20.183897534	453.758	695.763	0.0920	242.004	-45.91	BUFJAP
9	Spectrogram 1	1	21.712632369	22.643666367	423.508	877.266	0.9310	453.758	-53.71	BUFJAP
10	Spectrogram 1	1	23.160907477	23.735619822	363.007	998.268	0.5747	635.262	-53.92	BUFJAP
11	Spectrogram 1	1	24.712630807	25.655159052	393.257	907.517	0.9425	514.259	-54.59	BUFJAP
12	Spectrogram 1	1	26.620675790	28.908030921	393.257	998.268	2.2874	605.011	-55.86	BUFJAP
13	Spectrogram 1	1	31.057455089	31.160903311	484.009	1421.776	0.1034	937.767	-50.35	BUFJAP
14	Spectrogram 1	1	31.758604149	31.827569630	484.009	816.765	0.0690	332.756	-56.61	BUFJAP
15	Spectrogram 1	1	32.735615134	33.344810219	393.257	1512.528	0.6092	1119.271	-61.01	BUFJAP
16	Spectrogram 1	1	46.471240164	46.528711398	484.009	937.767	0.0575	453.758	-51.31	BUFJAP
17	Spectrogram 1	1	47.379285668	47.873538284	453.758	1391.526	0.4943	937.767	-53.33	BUFJAP
