Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	4.241377101	6.333330035	297.729	9170.058	2.0920	8872.329	-54.39	BUFJAP
2	Spectrogram 1	1	13.471257352	17.022979640	238.183	10718.250	3.5517	10480.067	-57.75	BUFJAP
3	Spectrogram 1	1	21.827574838	21.954011554	357.275	1548.192	0.1264	1190.917	-48.77	BUFJAP
4	Spectrogram 1	1	26.798836617	26.885043469	416.821	1667.283	0.0862	1250.463	-49.73	BUFJAP
5	Spectrogram 1	1	27.643663763	28.040215281	357.275	1310.008	0.3966	952.733	-56.89	BUFJAP
6	Spectrogram 1	1	29.545961623	29.666651215	416.821	1012.279	0.1207	595.458	-50.93	BUFJAP
7	Spectrogram 1	1	30.046461700	30.167151292	297.729	1012.279	0.1207	714.550	-49.31	BUFJAP
8	Spectrogram 1	1	31.483242561	31.534966672	476.367	1786.375	0.0517	1310.008	-50.45	BUFJAP
9	Spectrogram 1	1	32.885540681	34.431516887	357.275	10718.250	1.5460	10360.975	-60.39	BUFJAP
11	Spectrogram 1	1	40.425766639	42.149903672	357.275	11075.525	1.7241	10718.250	-62.13	BUFJAP
12	Spectrogram 1	1	45.138407863	46.983234488	297.729	2024.558	1.8448	1726.829	-56.00	BUFJAP
13	Spectrogram 1	1	49.063693175	52.247599562	476.367	10896.888	3.1839	10420.521	-55.16	BUFJAP
14	Spectrogram 1	1	53.080932462	53.207369177	297.729	10837.342	0.1264	10539.613	-53.39	BUFJAP
15	Spectrogram 1	1	55.103919914	55.224609506	297.729	2560.471	0.1207	2262.742	-49.51	BUFJAP
16	Spectrogram 1	1	56.465988170	56.529206528	357.275	2500.925	0.0632	2143.650	-55.77	BUFJAP
17	Spectrogram 1	1	57.356792304	57.402769291	357.275	1071.825	0.0460	714.550	-54.45	BUFJAP
18	Spectrogram 1	1	59.436109304	59.890132056	357.275	10480.067	0.4540	10122.792	-66.05	BUFJAP
